Year,Command_Station,Total_Crimes_Reported,Spatial_Resolution,Sub_County_Breakdown_Available,YoY_Percent_Change
2018,Nairobi City,7128,Command Station (Aggregated),False,
2019,Nairobi City,8246,Command Station (Aggregated),False,15.684624017957361
2020,Nairobi City,5844,Command Station (Aggregated),False,-29.129274799902984
2021,Nairobi City,6686,Command Station (Aggregated),False,14.407939767282674
2022,Nairobi City,8512,Command Station (Aggregated),False,27.31079868381694
2023,Nairobi City,11108,Command Station (Aggregated),False,30.498120300751875
2024,Nairobi City,9717,Command Station (Aggregated),False,-12.52250630176449
